FileName;Equation;Correct;Output
F:\discrete_structuren\comass01.txt;(3)*(2)^n;True;[[3, '3']]
F:\discrete_structuren\comass02.txt;(3)*(2)^n + (-2)*(3)^n;True;[[1, '1'], [0, '0']]
F:\discrete_structuren\comass03.txt;((2**n) * 6) + ((2**n*n) * -2);True;[[6, '6'], [8, '8']]
F:\discrete_structuren\comass04.txt;(-1)*(-2)^n + (1)*(2)^n;True;[[0, '0'], [4, '4']]
F:\discrete_structuren\comass05.txt;(-400000/3)*(-1/2)^n + (700000/3)*(1)^n;True;[[100000.0, '100000'], [300000.0, '300000']]
F:\discrete_structuren\comass07.txt;(sqrt(5)/10 + 1/2)*(1/2 + sqrt(5)/2)^n + (-sqrt(5)/10 + 1/2)*(-sqrt(5)/2 + 1/2)^n;True;[[1.0, '1'], [0.9999999999999999, '1']]
F:\discrete_structuren\comass08.txt;(1/2 + sqrt(3)/3)*(1 + sqrt(3))^n + (-sqrt(3)/3 + 1/2)*(-sqrt(3) + 1)^n;True;[[1.0, '1'], [2.9999999999999996, '3']]
F:\discrete_structuren\comass10.txt;(2)*(1)^n;True;[[2, '2']]
F:\discrete_structuren\comass11.txt;(((-2)**n) * 0) + (((-2)**n*n) * -1/2);True;[[0.0, '0'], [1.0, '1']]
F:\discrete_structuren\comass12.txt;(1/2)*(-1/2)^n + (1/2)*(1/2)^n;True;[[1.0, '1'], [0.0, '0']]
F:\discrete_structuren\comass13.txt;(5*sqrt(26)/52 + 1/2)*(5 + sqrt(26))^n + (-5*sqrt(26)/52 + 1/2)*(-sqrt(26) + 5)^n;True;[[1.0, '1'], [10.0, '10']]
F:\discrete_structuren\comass14.txt;(-3)*(-2)^n + (8)*(-1)^n + (4)*(3)^n;True;[[9, '9'], [10, '10'], [32, '32']]
F:\discrete_structuren\comass41.txt;((2**n) * 1) + ((2**n*n) * -5651/6720) + ((2**n*n**2) * 817/384) + ((2**n*n**3) * -29459/15360) + ((2**n*n**4) * 4757/6144) + ((2**n*n**5) * -1623/10240) + ((2**n*n**6) * 33/2048) + ((2**n*n**7) * -139/215040);True;[[1.0, '1'], [2.0000000000000004, '2'], [2.999999999999998, '3'], [3.000000000000048, '3'], [3.999999999999858, '4'], [4.0, '4'], [4.999999999998181, '5'], [4.999999999985448, '5']]
F:\discrete_structuren\comass43.txt;(-2/3)*(-2)^n + (217/6)*(1)^n + (3/2)*(3)^n;True;[[37.0, '37'], [42.0, '42'], [47.0, '47']]
F:\discrete_structuren\comass46.txt;(10*sqrt(37)/37 + 2)*(1/2 + sqrt(37)/2)^n + (-10*sqrt(37)/37 + 2)*(-sqrt(37)/2 + 1/2)^n;True;[[4.0, '4'], [11.999999999999998, '12']]
F:\discrete_structuren\comass50.txt;(-419/36)*(-1)^n + (-355/76)*(3)^n + (-12572*sqrt(85)/14535 + 1480/171)*(9/2 + sqrt(85)/2)^n + (12572*sqrt(85)/14535 + 1480/171)*(-sqrt(85)/2 + 9/2)^n;True;[[1.0000000000000018, '1'], [2.0000000000000107, '2'], [3.00000000000008, '3'], [400.0000000000007, '400']]
F:\discrete_structuren\comass53.txt;(4)*(6)^n;True;[[4, '4']]
F:\discrete_structuren\comass58.txt;(-19/4)*(-2/3)^n + (35/4)*(2/3)^n;True;[[4.0, '4'], [9.0, '9']]
F:\discrete_structuren\comass59.txt;((1) * -11/3) + (((-1)**n) * 26/81) + (((-2)**n) * -19/480) + (((1/2)**n) * 1024/405) + ((2**n) * 9997/2592) + ((2**n*n) * -9/8) + ((2**n*n**2) * 13/144);True;[[3.0, '3'], [2.999999999999999, '3'], [5.0, '5'], [7.0, '7'], [8.999999999999996, '9'], [13.0, '13'], [17.0, '17']]
F:\discrete_structuren\comass63.txt;(-14/55)*(-2)^n + (1)*(-1)^n + (-56/5)*(1/2)^n + (192/11)*(3/4)^n;True;[[7.0, '7'], [6.999999999999999, '7'], [6.999999999999998, '7'], [7.0, '7']]
F:\discrete_structuren\comass68.txt;((2**n) * 277/576) + ((1) * 623/432) + ((3**n) * -447/4000) + ((3**n*n) * 29/2400) + (((-1)**n) * 793/288) + (((-1)**n*n) * 263/96) + (((-2)**n) * -769987/216000) + (((-2)**n*n) * 3367/3600) + (((-2)**n*n**2) * -31/480);True;[[1.0000000000000004, '1'], [1.9999999999999996, '2'], [2.999999999999999, '3'], [3.0000000000000018, '3'], [4.0000000000000036, '4'], [3.999999999999993, '4'], [4.999999999999972, '5'], [4.999999999999943, '5'], [-5.0, '-5']]
F:\discrete_structuren\comass71.txt;(5 + 17*sqrt(10)/2)*(1/6 + sqrt(10)/6)^n + (-17*sqrt(10)/2 + 5)*(-sqrt(10)/6 + 1/6)^n;True;[[10.0, '10'], [30.0, '30']]
F:\discrete_structuren\comass74.txt;(-10/3)*(1)^n + (sqrt(3)/6 + 5/3)*(1 + sqrt(3))^n + (-sqrt(3)/6 + 5/3)*(-sqrt(3) + 1)^n;True;[[0.0, '0'], [0.9999999999999998, '1'], [12.0, '12']]
F:\discrete_structuren\comass81.txt;((1) * 199/81) + (((-2)**n) * -118/81) + (((-2)**n*n) * 5921/1728) + (((-2)**n*n**2) * -2611/1152) + (((-2)**n*n**3) * 331/576) + (((-2)**n*n**4) * -19/384);True;[[0.9999999999999998, '1'], [1.9999999999999991, '2'], [3.000000000000005, '3'], [3.0, '3'], [4.000000000000085, '4'], [4.999999999999659, '5']]
F:\discrete_structuren\comass84.txt;(1/2 + 15*sqrt(26)/52)*(-5 + sqrt(26))^n + (-15*sqrt(26)/52 + 1/2)*(-sqrt(26) - 5)^n;True;[[1.0, '1'], [10.0, '10']]
F:\discrete_structuren\comass87.txt;(((-2)**n) * -5/81) + (((-3)**n) * -3/32) + ((1) * 2995/2592) + ((n) * -1975/216) + ((n**2) * 409/36) + ((n**3) * -16/9);True;[[1.0, '1'], [1.9999999999999991, '2'], [13.0, '13'], [31.0, '31'], [24.0, '24'], [42.0, '42']]
F:\discrete_structuren\comass93.txt;((3**n) * 2763/256) + ((3**n*n) * -63/64) + (((-1)**n) * -1739/256) + (((-1)**n*n) * 307/4) + (((-1)**n*n**2) * -1457/32);True;[[4.0, '4'], [5.0, '5'], [44.0, '44'], [398.0, '398'], [127.0, '127']]
F:\discrete_structuren\comass96.txt;(1/3)*(1)^n + (1/3 + 7*sqrt(13)/39)*(1/2 + sqrt(13)/2)^n + (-7*sqrt(13)/39 + 1/3)*(-sqrt(13)/2 + 1/2)^n;True;[[0.9999999999999998, '1'], [3.0, '3'], [5.0, '5']]
